GridType, Algo, NBoat, Cost, AWD, NCharging, NCS, Time, BtPosFName, BPerm, SPath 
tri, xTSPGray-arbitrary_insertion, 11, 342175.319, 142171.21, 21, 25, 0.068, boatPos-0001.csv, B11-B5-B6-B9-B7-B4-B3-B10-B8-B2-B1, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->18->21->17->B4--B4->17->B3--B3->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->7->BS1 
tri, xTSPRedGray-nn, 11, 299248.805, 139986.097, 17, 25, 0.055, boatPos-0001.csv, B6-B9-B7-B5-B11-B4-B3-B10-B8-B2-B1, --BS1->10->14->B6--B6->18->B9--B9->18->B7--B7->14->8->B5--B5->10->B11--B11->10->B4--B4->17->B3--B3->17->B10->20--20->B8--B8->24->B2--B2->22->19->B1--B1->16->13->7->BS1 
tri, xTSPGray-nn, 11, 343484.668, 154482.745, 21, 25, 0.049, boatPos-0001.csv, B7-B9-B6-B5-B11-B4-B3-B10-B8-B2-B1, --BS1->10->14->18->B7--B7->18->B9--B9->18->B6--B6->14->8->B5--B5->10->B11--B11->10->B4--B4->17->B3--B3->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->7->BS1 
tri, xTSPRedGray-repetitive_nn, 11, 299248.805, 140355.991, 17, 25, 0.059, boatPos-0001.csv, B7-B9-B6-B5-B11-B4-B3-B10-B8-B2-B1, --BS1->10->14->B7->18--18->B9--B9->18->B6--B6->14->8->B5--B5->10->B11--B11->10->B4--B4->17->B3--B3->17->B10->20--20->B8--B8->24->B2--B2->22->19->B1--B1->16->13->7->BS1 
tri, xTSPGray-repetitive_nn, 11, 343484.668, 154482.745, 21, 25, 0.057, boatPos-0001.csv, B7-B9-B6-B5-B11-B4-B3-B10-B8-B2-B1, --BS1->10->14->18->B7--B7->18->B9--B9->18->B6--B6->14->8->B5--B5->10->B11--B11->10->B4--B4->17->B3--B3->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->7->BS1 
tri, xTSPRedGray-two_opt, 11, 302178.63, 142197.191, 18, 25, 0.055, boatPos-0001.csv, B11-B5-B6-B9-B7-B4-B3-B1-B2-B8-B10, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->14->17->B4--B4->17->B3--B3->13->16->B1->19--19->22->B2->24--24->B8--B8->20->B10--B10->20->13->7->BS1 
tri, xTSPGray-two_opt, 11, 338181.234, 155701.507, 20, 25, 0.051, boatPos-0001.csv, B11-B5-B6-B9-B7-B10-B8-B2-B1-B3-B4, --BS1->10->B11--B11->10->B5--B5->8->14->B6--B6->18->B9--B9->18->B7--B7->18->21->17->20->B10--B10->20->B8--B8->24->B2--B2->24->22->19->B1--B1->19->16->13->B3--B3->17->B4--B4->10->BS1 
sq, clookRedGray, 11, 252520.586, 110408.199, 16, 31, 0.107, boatPos-0001.csv, B11-B5-B6-B7-B9-B4-B3-B10-B8-B2-B1, --BS1->19->B11--B11->19->B5--B5->25->26->B6--B6->26->B7--B7->30->B9--B9->26->B4->20--20->B3--B3->13->14->B10--B10->14->B8--B8->9->B2--B2->9->4->B1--B1->3->6->BS1 
sq, clookGray, 11, 263258.651, 112659.902, 18, 31, 0.065, boatPos-0001.csv, B11-B5-B6-B7-B9-B4-B3-B10-B8-B2-B1, --BS1->19->B11--B11->19->B5--B5->25->26->B6--B6->26->B7--B7->30->B9--B9->26->20->B4--B4->20->B3--B3->13->14->B10--B10->14->B8--B8->15->9->B2--B2->9->4->B1--B1->3->6->BS1 
sq, concaveTSPRedGray, 11, 259519.002, 111333.369, 17, 31, 0.068, boatPos-0001.csv, B11-B5-B4-B6-B9-B7-B3-B10-B8-B2-B1, --BS1->19->B11--B11->19->B5--B5->19->B4->20--20->26->B6--B6->30->B9--B9->30->B7--B7->26->20->B3--B3->13->14->B10--B10->14->B8--B8->9->B2--B2->9->4->B1--B1->3->6->BS1 
sq, concaveTSPGray, 11, 274185.781, 117023.97, 19, 31, 0.054, boatPos-0001.csv, B11-B5-B4-B6-B9-B7-B3-B10-B8-B2-B1, --BS1->19->B11--B11->19->B5--B5->19->20->B4--B4->20->26->B6--B6->30->B9--B9->30->B7--B7->26->20->B3--B3->13->14->B10--B10->14->B8--B8->15->9->B2--B2->9->4->B1--B1->3->6->BS1 
